Date,vel_up_centreline,dLdt,calving,calving_magnitude,dt_days,dt_years,Centerline_Length
2015-01-03,,,,,,,0.0
2015-01-15,,13887.640980456017,,,12.0,0.03285420944558522,456.2674654769944
2015-01-27,,-2318.761472260492,,,12.0,0.03285420944558522,380.08639041299466
2015-02-08,,9808.124143303576,,,12.0,0.03285420944558522,702.3245552853914
2015-02-20,,-34908.79015072739,,,12.0,0.03285420944558522,-444.57614781858865
2015-03-04,,12764.839193088505,,,12.0,0.03285420944558522,-25.197447429643944
2015-03-16,,11515.19168261232,,,12.0,0.03285420944558522,353.12507191696204
2015-03-28,,15051.116198824828,,,12.0,0.03285420944558522,847.6175959029933
2015-04-09,,-7295.8108927532885,,,12.0,0.03285420944558522,607.9194967570947
2015-04-21,,12037.727415172012,,,12.0,0.03285420944558522,1003.4095145040192
2015-05-03,,10403.189108249571,,,12.0,0.03285420944558522,1345.1980683684815
2015-05-15,,-24977.28632479348,,,12.0,0.03285420944558522,524.5890720713651
2015-05-27,,12770.174406581493,,,12.0,0.03285420944558522,944.1430566818453
2015-06-08,,-19991.23397133249,,,12.0,0.03285420944558522,287.3468687119894
2015-07-26,,-22362.434055259,,,48.0,0.13141683778234087,-2651.4534999462776
2015-08-07,,20242.81493138783,,,12.0,0.03285420944558522,-1986.391818422242
2015-08-19,,-33292.198548613065,,,12.0,0.03285420944558522,-3080.180682442384
2015-08-31,,19294.155456317494,,,12.0,0.03285420944558522,-2446.286458004848
2015-09-12,,22702.278771748257,,,12.0,0.03285420944558522,-1700.4210363457678
2015-10-18,,-3097.988087432922,,,36.0,0.09856262833675565,-2005.7668847991154
2015-11-11,,15312.324133248032,,,24.0,0.06570841889117043,-999.6182764542755
2015-11-23,,17360.578577013373,,,12.0,0.03285420944558522,-429.25019178853836
2015-12-05,,16456.64725323292,,,12.0,0.03285420944558522,111.41994384129066
2015-12-17,,-7315.735685776985,,,12.0,0.03285420944558522,-128.93276862776838
2015-12-29,,-16206.36102783525,,,12.0,0.03285420944558522,-661.3799481870374
2016-01-10,,11574.535630886356,,,12.0,0.03285420944558522,-281.10773033450823
2016-01-22,,-7064.957692386488,,,12.0,0.03285420944558522,-513.2213300843723
2016-02-03,,4680.081203374604,,,12.0,0.03285420944558522,-359.46096200635657
2016-02-15,,-15216.446050084145,,,12.0,0.03285420944558522,-859.3852675532689
2016-02-27,,3964.9184780296637,,,12.0,0.03285420944558522,-729.1210054414114
2016-03-10,,779.1378621352633,,,12.0,0.03285420944558522,-703.523046931834
2016-04-03,,-898.4801609887327,,,24.0,0.06570841889117043,-762.5607577154879
2016-04-15,,-26966.548649739256,,,12.0,0.03285420944558522,-1648.5253950785846
2016-04-27,,4650.41772934801,,,12.0,0.03285420944558522,-1495.7395969891222
2016-05-09,,9447.770741300526,,,12.0,0.03285420944558522,-1185.3405582605628
2016-05-21,,-13231.075305265149,,,12.0,0.03285420944558522,-1620.0370775300544
2016-06-02,,14715.052309251172,,,12.0,0.03285420944558522,-1136.585666959174
2016-06-14,,5569.925469278438,,,12.0,0.03285420944558522,-953.5901689952007
2016-07-08,,-17834.65487381296,,,24.0,0.06570841889117043,-2125.477142223157
2016-07-20,,9119.259497371393,,,12.0,0.03285420944558522,-1825.871080707875
2016-08-01,,-2145.1311137779485,,,12.0,0.03285420944558522,-1896.3476676081773
2016-08-13,,-23618.46791420931,,,12.0,0.03285420944558522,-2672.313759245444
2016-08-25,,23797.264249253232,,,12.0,0.03285420944558522,-1890.4734553685412
2016-09-06,,16022.756404419815,,,12.0,0.03285420944558522,-1364.0584605621407
2016-09-18,,17510.5537977962,,,12.0,0.03285420944558522,-788.7630585811567
2016-09-30,,16967.250007709656,,,12.0,0.03285420944558522,-231.31747311225627
2016-10-06,,16947.869027263398,,,6.0,0.01642710472279261,47.08694622677285
2016-10-12,11714.87109375,-66053.9381221085,77768.8092158585,212.91939552596443,6.0,0.01642710472279261,-1037.9880126579665
2016-10-18,11177.8642578125,10971.578197498966,206.2860603135341,0.5647804526037895,6.0,0.01642710472279261,-857.7567486333428
2016-10-24,11086.111328125,15959.66058442826,-4873.54925630326,-13.343050667496948,6.0,0.01642710472279261,-595.5857328727143
2016-10-30,11098.2109375,11870.497179101803,-772.2862416018033,-2.1144044944607896,6.0,0.01642710472279261,-400.5878325999947
2016-11-05,10812.546875,9259.133052151228,1553.4138228487718,4.253015257628396,6.0,0.01642710472279261,-248.48708431003615
2016-11-11,10391.4736328125,-6333.196434992322,16724.670067804822,45.78965110966413,6.0,0.01642710472279261,-352.52316537767183
2016-11-17,10657.373046875,15760.208671816421,-5102.835624941421,-13.970802532351598,6.0,0.01642710472279261,-93.62856707267929
2016-11-23,10436.1611328125,18892.33471988511,-8456.173587072612,-23.151741511492435,6.0,0.01642710472279261,216.7177938289242
2016-11-29,10276.8701171875,5620.179464172179,4656.690653015321,12.749324169788695,6.0,0.01642710472279261,309.041070447769
2016-12-05,10012.6572265625,9848.07117861582,164.58604794667917,0.4506120409217773,6.0,0.01642710472279261,470.81636701640673
2016-12-11,10001.5,14043.833972139168,-4042.3339721391676,-11.067307247472053,6.0,0.01642710472279261,701.5158983862493
2016-12-17,,19207.20786900456,,,6.0,0.01642710472279261,1017.0347134828335
2016-12-23,9696.447265625,-3939.335518019274,13635.782783644274,37.33273862736283,6.0,0.01642710472279261,952.3228363901144
2016-12-29,,8894.102040703467,,,6.0,0.01642710472279261,1098.4271820279537
2017-01-04,9710.1015625,7203.354003503526,2506.7475589964743,6.86310077753997,6.0,0.01642710472279261,1216.7574325988535
2017-01-10,9588.2734375,10707.81735858279,-1119.54392108279,-3.0651442055654754,6.0,0.01642710472279261,1392.6558697008295
2017-01-16,9394.9736328125,5124.072814937725,4270.900817874775,11.69308916598159,6.0,0.01642710472279261,1476.8295504390262
2017-01-22,9331.6279296875,7185.9355230367655,2145.6924066507345,5.874585644492086,6.0,0.01642710472279261,1594.8736658071866
2017-01-28,9308.048828125,17368.270827405242,-8060.221999280242,-22.06768514518889,6.0,0.01642710472279261,1880.1840695427964
2017-02-03,9641.4775390625,9547.570839598091,93.90669946440903,0.25710253104560993,6.0,0.01642710472279261,2037.0230155731551
2017-02-09,10144.4091796875,15653.720340272572,-5509.311160585072,-15.083671897563509,6.0,0.01642710472279261,2294.1683189041214
2017-02-15,9988.0439453125,-1230.419670939751,11218.463616252251,30.714479442169065,6.0,0.01642710472279261,2273.95608611661
2017-02-21,,5551.551795517022,,,6.0,0.01642710472279261,2365.1520088355755
2017-02-27,9031.421875,-52245.98927904178,61277.41115404178,167.7684083615107,6.0,0.01642710472279261,1506.9016716028564
2017-03-05,8981.0244140625,9307.35260160087,-326.3281875383691,-0.8934378851153157,6.0,0.01642710472279261,1659.79452748131
2017-03-11,9034.1982421875,11702.758213377107,-2668.5599711896066,-7.306119017630682,6.0,0.01642710472279261,1852.0369621979771
2017-03-17,8951.5732421875,4773.539555101714,4178.033687085786,11.438832818852255,6.0,0.01642710472279261,1930.4523963680258
2017-03-23,8859.658203125,11681.495875004752,-2821.8376718797517,-7.725770491114995,6.0,0.01642710472279261,2122.3455524255987
2017-03-29,9242.9345703125,11857.074428923443,-2614.1398586109426,-7.157124869571369,6.0,0.01642710472279261,2317.1229557754705
2017-04-04,9145.9716796875,9437.79446653834,-291.8227868508402,-0.7989672466826563,6.0,0.01642710472279261,2472.1585938294884
2017-04-10,9149.0224609375,7135.860816024695,2013.161644912805,5.511736194148679,6.0,0.01642710472279261,2589.3801267415984
2017-04-16,9088.8974609375,12049.404294428416,-2960.5068334909156,-8.105425964383068,6.0,0.01642710472279261,2787.316952933441
2017-04-22,9057.7685546875,-12400.194694057864,21457.963248745364,58.7487015708292,6.0,0.01642710472279261,2583.617656111135
2017-04-28,8965.5625,-19385.09682556383,28350.65932556383,77.61987495020898,6.0,0.01642710472279261,2265.1766404961236
2017-05-04,9109.3876953125,13376.265835964863,-4266.878140652363,-11.68207567598183,6.0,0.01642710472279261,2484.9099601834314
2017-05-10,8851.8818359375,-33853.70989182519,42705.59172776269,116.92153792679723,6.0,0.01642710472279261,1928.791522535379
2017-05-16,9171.5400390625,115.98643817169068,9055.55360089081,24.792754554115838,6.0,0.01642710472279261,1930.6968439016491
2017-05-22,9157.1044921875,3516.6673072130216,5640.437184974478,15.44267538665155,6.0,0.01642710472279261,1988.4655060324585
2017-05-28,8673.1474609375,-325.86271209456027,8999.01017303206,24.637947085645614,6.0,0.01642710472279261,1983.112525135628
2017-06-03,,13971.65294399907,,,6.0,0.01642710472279261,2212.6263311972143
2017-06-09,,-33196.490986484554,,,6.0,0.01642710472279261,1667.3040973329917
2017-06-15,,-23677.68450910729,,,6.0,0.01642710472279261,1278.348294308642
2017-06-21,,9289.052779071033,,,6.0,0.01642710472279261,1430.9405370859895
2017-06-27,9727.021484375,-53633.437244185174,63360.458728560174,173.4714818030395,6.0,0.01642710472279261,549.8984468324343
2017-07-03,,-11166.160576749651,,,6.0,0.01642710472279261,366.47075768664945
2017-07-09,9665.9091796875,-59606.072844131675,69271.98202381918,189.6563505101141,6.0,0.01642710472279261,-612.6844430383062
2017-07-15,,-8800.038928473034,,,6.0,0.01642710472279261,-757.2436040809844
2017-07-27,,11346.37815189729,,,12.0,0.03285420944558522,-384.4673198297387
2017-08-02,10505.5068359375,-24846.158558769792,35351.66539470729,96.78758492733003,6.0,0.01642710472279261,-792.6177684337599
2017-08-08,,13153.80266200463,,,6.0,0.01642710472279261,-576.5388746020617
2017-08-14,12231.8486328125,-37337.78673500179,49569.63536781429,135.7142652096216,6.0,0.01642710472279261,-1189.8906074152328
2017-08-20,10598.2724609375,14226.117414193155,-3627.844953255655,-9.932498160864217,6.0,0.01642710472279261,-956.1966868535383
2017-08-26,11518.115234375,14797.728387970885,-3279.613153595885,-8.979091454061287,6.0,0.01642710472279261,-713.1128529648995
2017-09-01,,-13658.373132154622,,,6.0,0.01642710472279261,-937.4803787497804
2017-09-07,11158.619140625,14184.442800543213,-3025.823659918213,-8.284253689030015,6.0,0.01642710472279261,-704.4710514307953
2017-09-13,10908.47265625,11555.601084992566,-647.128428742566,-1.7717410780083944,6.0,0.01642710472279261,-514.6459822728066
2017-09-19,10714.1259765625,-12055.262279359056,22769.388255921556,62.339187558991256,6.0,0.01642710472279261,-712.6790381965693
2017-09-25,10143.1123046875,-9977.568013651136,20120.680318338636,55.08742044719681,6.0,0.01642710472279261,-876.5815928356024
2017-10-01,10888.34375,13042.293219115949,-2153.949469115949,-5.897192249461872,6.0,0.01642710472279261,-662.3344762998167
2017-10-07,10821.8115234375,11004.841411746238,-183.029888308738,-0.501108523774779,6.0,0.01642710472279261,-481.55679397133645
2017-10-13,10266.884765625,11297.552040757,-1030.6672751320002,-2.821813210491445,6.0,0.01642710472279261,-295.97072348662186
